,student,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
83,618,6.0,0.0,0.0,2.2,5.0,0.0,0.0,2.5,0
84,619,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.7,1
85,620,2.0,0.0,0.0,3.8,1.0,1.0,0.0,3.5,0
86,622,1.0,1.0,0.0,3.6,6.0,0.0,0.0,1.9,1
87,623,3.0,0.0,0.0,2.4,4.0,0.0,0.0,1.8,1
89,628,3.0,0.0,0.0,2.7,3.0,0.0,0.0,2.1,1
90,632,3.0,0.0,0.0,2.1,2.0,0.0,0.0,1.4,1
91,695,3.0,0.0,0.0,3.3,8.0,2.0,0.0,3.1,0
92,696,2.0,1.0,0.0,3.3,3.0,2.0,0.0,3.5,0
93,698,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.3,1
94,700,0.0,1.0,0.0,5.0,0.0,2.0,0.0,5.0,0
95,705,2.0,1.0,0.0,4.0,3.0,1.0,0.0,3.4,0
96,706,4.0,1.0,0.0,2.9,1.0,1.0,0.0,4.2,0
97,708,4.0,0.0,0.0,2.9,4.0,0.0,2.0,2.6,0
98,710,4.0,0.0,0.0,1.5,4.0,0.0,0.0,1.1,1
99,711,3.0,0.0,0.0,1.3,3.0,0.0,0.0,1.0,1
100,716,2.0,0.0,0.0,2.2,1.0,1.0,0.0,3.8,0
101,717,3.0,0.0,0.0,2.4,3.0,0.0,0.0,1.8,0
103,719,4.0,1.0,0.0,2.6,12.0,0.0,0.0,2.8,1
104,720,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.0,1
106,723,4.0,0.0,0.0,1.9,5.0,0.0,0.0,2.1,1
107,724,4.0,0.0,0.0,2.7,3.0,1.0,0.0,2.8,1
108,725,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.3,1
109,726,1.0,1.0,0.0,4.0,5.0,0.0,0.0,2.5,0
110,727,3.0,0.0,0.0,3.1,2.0,1.0,0.0,2.9,1
111,728,6.0,0.0,0.0,2.0,4.0,1.0,0.0,2.3,1
112,729,5.0,0.0,0.0,1.3,6.0,0.0,0.0,1.7,1
113,730,4.0,0.0,0.0,1.6,3.0,0.0,0.0,1.3,1
114,731,5.0,0.0,0.0,2.1,14.0,0.0,0.0,3.0,1
115,734,1.0,0.0,0.0,2.7,0.0,0.0,0.0,5.1,0
117,736,3.0,0.0,0.0,1.8,12.0,0.0,0.0,2.0,0
118,738,1.0,3.0,0.0,4.5,2.0,0.0,0.0,2.2,0
119,740,4.0,0.0,0.0,2.7,3.0,0.0,0.0,2.6,1
120,742,3.0,0.0,0.0,2.4,5.0,0.0,0.0,1.2,1
122,744,4.0,1.0,0.0,2.7,5.0,0.0,0.0,2.1,0
123,746,2.0,1.0,0.0,3.3,2.0,0.0,0.0,2.6,0
124,751,0.0,2.0,0.0,5.0,1.0,1.0,0.0,3.4,0
125,779,0.0,2.0,0.0,5.0,3.0,0.0,0.0,1.4,0
126,780,3.0,0.0,0.0,1.8,5.0,0.0,0.0,1.9,1
127,781,5.0,0.0,0.0,1.7,5.0,0.0,0.0,1.9,1
128,783,5.0,0.0,0.0,1.3,5.0,0.0,0.0,1.5,1
129,787,5.0,0.0,0.0,2.7,3.0,0.0,0.0,3.3,1
130,788,3.0,0.0,0.0,1.6,7.0,1.0,0.0,2.8,1
131,789,2.0,0.0,0.0,2.2,3.0,0.0,0.0,2.5,0
132,790,4.0,0.0,0.0,1.2,12.0,0.0,0.0,1.8,1
134,792,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.6,1
135,793,4.0,0.0,0.0,1.7,3.0,0.0,0.0,1.8,1
137,796,3.0,0.0,0.0,1.7,0.0,0.0,0.0,5.1,1
138,797,3.0,0.0,0.0,2.2,6.0,0.0,0.0,2.2,1
139,798,3.0,1.0,0.0,2.4,4.0,1.0,0.0,3.3,0
140,799,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.6,1
142,809,4.0,0.0,0.0,1.2,13.0,0.0,0.0,1.9,1
145,820,1.0,1.0,0.0,3.5,2.0,0.0,0.0,1.8,0
147,822,3.0,0.0,0.0,2.0,4.0,1.0,0.0,3.3,0
148,828,3.0,0.0,0.0,2.9,3.0,0.0,0.0,2.9,0
149,830,6.0,0.0,0.0,1.2,6.0,0.0,0.0,2.1,1
151,832,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.0,1
152,833,1.0,2.0,0.0,4.0,4.0,1.0,0.0,2.9,0
153,837,5.0,1.0,0.0,2.0,6.0,0.0,0.0,1.4,1
154,842,2.0,1.0,0.0,3.0,2.0,1.0,0.0,3.1,0
155,847,6.0,0.0,0.0,1.4,5.0,0.0,0.0,1.6,1
156,848,2.0,1.0,0.0,3.9,0.0,0.0,0.0,5.1,0
158,888,3.0,0.0,0.0,2.6,3.0,0.0,0.0,2.7,1
159,891,5.0,0.0,0.0,2.3,6.0,0.0,0.0,2.8,1
160,894,4.0,1.0,0.0,2.9,1.0,0.0,0.0,1.7,1
161,897,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.1,1
162,899,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.1,0
163,902,3.0,3.0,0.0,3.7,3.0,1.0,0.0,3.1,0
167,911,4.0,0.0,0.0,1.6,4.0,0.0,0.0,1.7,1
168,915,6.0,0.0,0.0,2.4,5.0,0.0,0.0,2.5,1
169,916,10.0,0.0,0.0,2.4,2.0,0.0,0.0,1.2,0
170,917,4.0,0.0,0.0,2.4,4.0,1.0,0.0,2.5,0
171,920,5.0,0.0,0.0,2.7,7.0,1.0,0.0,3.2,1
172,926,0.0,1.0,1.0,5.0,3.0,0.0,0.0,1.7,0
174,937,3.0,0.0,0.0,2.4,3.0,0.0,0.0,2.7,0
