,student,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
57,538,4.0,0.0,0.0,1.5,3.0,0.0,0.0,1.6,2.0,0.0,0.0,2.0,1
58,539,1.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.7,0
59,540,6.0,0.0,0.0,2.1,6.0,0.0,0.0,2.6,10.0,0.0,0.0,2.7,1
60,541,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.7,3.0,0.0,0.0,1.5,0
61,542,5.0,0.0,1.0,2.1,4.0,0.0,0.0,1.6,5.0,0.0,0.0,1.9,1
62,543,2.0,0.0,1.0,1.3,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.1,1
63,545,6.0,0.0,0.0,1.7,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.4,1
64,547,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2.3,3.0,0.0,0.0,2.0,1
65,548,5.0,1.0,1.0,3.3,6.0,0.0,0.0,2.0,5.0,0.0,0.0,2.8,1
66,550,3.0,0.0,0.0,1.9,2.0,1.0,0.0,3.6,3.0,0.0,0.0,2.7,0
67,552,6.0,0.0,0.0,2.6,5.0,0.0,0.0,2.9,6.0,0.0,0.0,2.4,0
68,570,5.0,0.0,0.0,2.6,2.0,0.0,0.0,2.5,3.0,0.0,0.0,1.9,1
69,572,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.4,0
70,573,14.0,0.0,0.0,1.9,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1
72,615,4.0,0.0,0.0,1.9,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.7,1
73,617,1.0,2.0,0.0,4.3,3.0,0.0,0.0,2.9,3.0,1.0,0.0,2.9,1
74,618,4.0,1.0,0.0,3.0,6.0,0.0,0.0,2.2,5.0,0.0,0.0,2.5,0
75,619,7.0,0.0,0.0,2.2,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.7,1
76,620,1.0,1.0,0.0,3.4,2.0,0.0,0.0,3.8,1.0,1.0,0.0,3.5,0
77,622,5.0,0.0,0.0,3.1,1.0,1.0,0.0,3.6,6.0,0.0,0.0,1.9,1
78,623,4.0,0.0,0.0,2.0,3.0,0.0,0.0,2.4,4.0,0.0,0.0,1.8,1
79,628,4.0,0.0,0.0,3.2,3.0,0.0,0.0,2.7,3.0,0.0,0.0,2.1,1
80,632,2.0,0.0,0.0,1.5,3.0,0.0,0.0,2.1,2.0,0.0,0.0,1.4,1
81,695,4.0,1.0,0.0,3.9,3.0,0.0,0.0,3.3,8.0,2.0,0.0,3.1,0
82,696,1.0,2.0,0.0,4.6,2.0,1.0,0.0,3.3,3.0,2.0,0.0,3.5,0
83,698,6.0,0.0,0.0,2.2,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.3,1
84,700,0.0,2.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,5.0,0
85,705,2.0,0.0,0.0,3.5,2.0,1.0,0.0,4.0,3.0,1.0,0.0,3.4,0
86,708,1.0,0.0,0.0,3.7,4.0,0.0,0.0,2.9,4.0,0.0,2.0,2.6,0
87,710,5.0,0.0,0.0,1.4,4.0,0.0,0.0,1.5,4.0,0.0,0.0,1.1,1
88,711,4.0,0.0,0.0,1.2,3.0,0.0,0.0,1.3,3.0,0.0,0.0,1.0,1
89,716,3.0,1.0,0.0,3.2,2.0,0.0,0.0,2.2,1.0,1.0,0.0,3.8,0
90,717,3.0,0.0,0.0,1.8,3.0,0.0,0.0,2.4,3.0,0.0,0.0,1.8,0
92,719,3.0,0.0,0.0,1.5,4.0,1.0,0.0,2.6,12.0,0.0,0.0,2.8,1
93,720,6.0,0.0,0.0,2.2,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.0,1
95,723,5.0,0.0,0.0,1.5,4.0,0.0,0.0,1.9,5.0,0.0,0.0,2.1,1
96,724,5.0,0.0,0.0,2.8,4.0,0.0,0.0,2.7,3.0,1.0,0.0,2.8,1
97,725,6.0,0.0,0.0,2.0,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.3,1
98,727,3.0,1.0,0.0,3.9,3.0,0.0,0.0,3.1,2.0,1.0,0.0,2.9,1
99,728,4.0,0.0,0.0,1.8,6.0,0.0,0.0,2.0,4.0,1.0,0.0,2.3,1
