,student,no_passed_courses_4,no_of_failed_courses_4,no_of_unattempted_courses_4,avg_grade_all_courses_4,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
43,491,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.0,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.4,1
44,493,3.0,0.0,0.0,2.8,3.0,0.0,0.0,2.9,3.0,0.0,0.0,3.2,3.0,0.0,0.0,3.6,1
45,498,3.0,1.0,0.0,3.6,3.0,1.0,0.0,3.3,5.0,1.0,0.0,3.6,2.0,1.0,0.0,3.7,0
46,500,6.0,0.0,0.0,1.5,4.0,0.0,0.0,1.8,6.0,0.0,0.0,1.2,8.0,0.0,0.0,2.2,1
47,520,3.0,0.0,0.0,2.3,2.0,0.0,0.0,1.3,3.0,0.0,0.0,1.8,4.0,0.0,0.0,1.4,0
48,521,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.7,6.0,0.0,0.0,2.4,6.0,0.0,0.0,3.3,1
49,523,5.0,0.0,0.0,2.3,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.9,4.0,0.0,0.0,2.2,1
50,533,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.4,6.0,0.0,0.0,1.9,6.0,0.0,0.0,2.1,1
51,534,4.0,0.0,0.0,1.6,5.0,0.0,0.0,1.2,4.0,0.0,0.0,1.8,3.0,0.0,0.0,1.2,1
52,538,3.0,0.0,0.0,2.0,4.0,0.0,0.0,1.5,3.0,0.0,0.0,1.6,2.0,0.0,0.0,2.0,1
53,539,0.0,1.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.7,0
54,540,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.1,6.0,0.0,0.0,2.6,10.0,0.0,0.0,2.7,1
55,542,5.0,0.0,0.0,1.5,5.0,0.0,1.0,2.1,4.0,0.0,0.0,1.6,5.0,0.0,0.0,1.9,1
56,543,3.0,0.0,0.0,1.4,2.0,0.0,1.0,1.3,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.1,1
57,545,6.0,0.0,0.0,1.4,6.0,0.0,0.0,1.7,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.4,1
58,547,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2.3,3.0,0.0,0.0,2.0,1
59,548,6.0,0.0,0.0,2.5,5.0,1.0,1.0,3.3,6.0,0.0,0.0,2.0,5.0,0.0,0.0,2.8,1
60,550,3.0,0.0,0.0,2.3,3.0,0.0,0.0,1.9,2.0,1.0,0.0,3.6,3.0,0.0,0.0,2.7,0
61,552,6.0,0.0,0.0,2.1,6.0,0.0,0.0,2.6,5.0,0.0,0.0,2.9,6.0,0.0,0.0,2.4,0
62,570,6.0,0.0,0.0,1.9,5.0,0.0,0.0,2.6,2.0,0.0,0.0,2.5,3.0,0.0,0.0,1.9,1
63,571,1.0,1.0,0.0,3.8,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
64,572,11.0,0.0,0.0,2.9,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.4,0
65,573,5.0,0.0,0.0,2.2,14.0,0.0,0.0,1.9,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1
67,612,0.0,2.0,0.0,5.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
68,615,3.0,1.0,0.0,2.8,4.0,0.0,0.0,1.9,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.7,1
