;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;status
59;3.7;2.0;2.3;3.0;2.0;3.3;2.7;1.7;2.7;2.3;4.0;5.1;0
60;5.1;5.1;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
61;5.1;4.0;3.0;3.0;2.7;2.0;5.1;5.1;5.1;5.1;5.0;5.1;0
62;1.0;2.0;1.0;1.0;1.3;1.3;5.1;5.1;1.0;1.3;3.0;5.1;0
63;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
64;2.3;1.0;1.7;2.0;1.7;1.3;1.0;1.3;1.7;2.3;4.0;5.1;0
65;2.7;3.0;2.7;4.0;2.7;4.0;2.3;2.0;2.7;5.0;5.0;5.1;1
66;4.0;1.7;3.0;5.0;2.0;1.7;1.7;2.0;2.3;5.1;5.1;5.1;1
67;2.7;1.7;1.0;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1.0;5.1;1
68;4.0;2.3;2.3;2.0;1.3;3.0;5.1;5.1;5.1;5.1;5.1;5.1;0
69;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
70;3.0;2.3;5.1;5.1;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;1
71;3.3;2.7;5.1;5.1;5.1;3.0;5.1;5.1;5.1;5.1;3.3;5.1;0
72;2.7;3.0;1.0;1.0;1.3;2.0;5.1;1.3;1.3;3.3;2.3;5.1;0
73;3.3;1.7;3.3;4.0;1.3;5.1;5.1;5.1;2.3;5.1;5.1;5.1;1
74;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
75;3.3;5.1;3.0;3.7;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
76;2.3;5.1;1.0;5.1;1.0;1.0;5.1;1.3;1.0;2.0;5.1;5.1;0
77;3.3;1.0;2.0;3.0;5.1;5.1;1.0;5.1;1.7;5.1;5.1;5.1;1
78;2.7;1.3;5.1;5.1;2.0;5.1;2.3;5.1;5.1;5.1;5.1;5.1;0
79;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
80;5.0;1.3;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
81;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
82;2.3;5.0;5.1;3.0;2.3;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
83;4.0;2.7;1.7;2.7;2.0;1.7;2.3;1.7;2.3;4.0;5.0;5.1;0
84;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
85;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
86;4.0;5.0;5.1;5.1;1.3;4.0;5.1;1.3;3.7;5.1;5.1;5.1;1
87;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
88;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
89;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
90;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
91;5.1;5.1;5.1;5.1;5.1;5.1;3.0;5.1;2.7;5.1;5.0;5.1;0
92;5.1;5.1;5.1;2.3;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1
93;2.0;5.1;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
94;1.3;1.0;5.1;1.0;5.1;5.1;1.3;1.7;1.3;1.3;2.0;5.1;0
95;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
96;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
97;4.0;5.0;3.7;5.0;2.0;5.0;5.1;5.1;5.1;5.1;4.0;5.1;1
98;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
99;1.0;5.1;5.1;1.0;1.7;1.0;5.1;1.7;5.1;1.0;1.0;5.1;0
100;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
101;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
102;3.3;5.0;2.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
103;2.3;3.3;1.0;3.0;2.0;4.0;5.1;5.1;5.1;5.1;5.1;5.1;1
104;1.7;2.3;1.7;2.0;1.3;2.3;5.1;5.1;5.0;5.0;5.1;5.1;0
105;4.0;3.0;1.7;4.0;2.3;4.0;1.3;5.1;2.0;3.0;5.1;5.1;1
106;2.3;1.3;5.1;2.7;2.3;5.1;1.0;1.3;5.1;5.1;3.3;5.1;0
107;3.0;1.0;1.0;3.0;1.7;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1
108;3.0;1.3;1.3;2.3;5.1;3.0;2.3;5.1;1.7;1.7;1.3;5.1;0
109;1.3;1.7;5.1;1.0;5.1;1.3;1.7;5.1;5.1;5.1;1.0;5.1;1
110;1.3;1.0;5.1;1.0;5.1;5.1;2.7;5.1;2.0;1.3;2.0;5.1;0
111;4.0;2.3;2.7;1.3;1.7;3.7;5.1;5.1;5.1;5.0;5.1;5.1;1
112;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
113;4.0;3.0;1.7;5.0;1.3;5.1;5.1;1.3;5.1;5.1;5.1;5.1;1
114;5.1;3.0;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
115;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
116;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
117;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
118;2.3;1.0;1.0;1.0;1.0;1.3;1.0;1.3;5.1;1.3;1.0;5.1;0
119;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
120;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
121;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
122;5.1;5.0;2.3;5.0;5.1;5.0;5.1;2.3;3.0;5.0;5.1;5.1;1
123;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
124;3.3;3.7;3.7;4.0;2.0;5.0;5.1;5.1;3.3;4.0;5.1;5.1;1
125;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
126;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
127;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
128;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
129;5.1;1.7;2.3;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
130;5.1;5.1;2.7;4.0;1.3;3.3;5.1;2.0;3.0;5.1;3.7;5.1;1
131;2.3;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
132;5.1;1.0;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
133;2.7;5.1;5.1;2.3;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;1
134;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
135;2.3;2.7;2.3;1.7;2.0;4.0;3.3;1.7;1.7;5.0;5.0;5.1;0
136;3.3;5.1;5.1;5.1;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;1
137;3.7;1.0;1.0;5.0;1.3;3.0;3.0;1.3;1.7;5.1;5.1;5.1;0
138;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
