;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;status
59;3.0;2.7;1.0;3.0;2.0;2.3;5.1;1.7;1.3;3.3;5.0;5.1;1
60;2.7;5.0;1.7;3.3;1.7;2.0;5.1;5.1;1.0;5.1;5.1;5.1;1
61;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
62;2.7;4.0;3.0;3.0;1.3;1.7;5.1;5.1;5.1;5.1;4.0;5.1;1
63;2.0;2.3;1.7;3.0;1.3;5.1;3.7;2.0;5.1;5.1;5.1;5.1;0
64;2.3;2.0;1.3;3.0;3.3;1.3;1.3;3.3;1.3;2.7;2.0;5.1;0
65;2.3;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
66;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
67;1.0;1.7;1.0;3.7;1.7;2.0;1.3;1.3;1.0;1.7;2.0;5.1;0
68;2.3;3.7;2.0;5.1;5.1;1.7;5.1;5.1;1.0;5.1;5.1;5.1;1
69;2.7;1.3;2.0;4.0;3.0;1.7;5.1;2.0;5.1;2.3;5.1;5.1;0
70;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
71;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
72;5.1;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
73;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
74;1.7;1.3;1.7;1.7;1.3;1.7;5.1;5.1;5.1;5.1;5.1;5.1;0
75;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
76;4.0;3.7;1.3;5.1;4.0;3.3;5.1;5.1;5.1;5.1;4.0;5.1;1
77;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
78;1.0;1.3;2.0;3.7;5.1;1.3;1.0;5.1;1.3;5.1;3.0;5.1;1
79;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
80;1.7;1.7;1.3;2.7;1.7;1.3;1.3;1.3;1.3;4.0;2.7;5.1;0
81;1.7;2.3;2.0;1.7;1.3;1.3;5.1;5.1;5.1;5.1;3.3;5.1;0
82;1.7;1.3;1.7;1.0;1.7;1.3;1.0;5.1;1.7;2.7;1.3;5.1;1
83;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
84;1.7;1.7;1.3;2.0;1.3;1.3;2.0;1.3;1.0;1.3;3.0;5.1;0
85;1.7;1.3;1.7;2.7;2.3;5.1;1.0;5.1;5.1;3.7;4.0;5.1;1
86;5.1;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
87;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
88;3.3;1.7;5.1;5.0;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
89;2.7;3.0;1.0;5.1;2.3;3.3;5.1;5.1;1.3;5.1;5.1;5.1;1
90;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
91;2.3;5.1;2.0;5.1;1.3;2.7;5.1;5.1;5.1;5.1;5.1;5.1;1
92;2.0;2.0;2.0;3.0;1.7;1.7;2.7;5.1;5.1;5.0;5.1;5.1;1
93;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
94;1.3;2.0;2.3;4.0;5.1;2.7;1.0;5.1;5.1;5.0;5.1;5.1;1
95;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
96;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
97;1.7;2.0;1.3;2.0;1.3;2.0;2.0;1.3;1.3;4.0;2.3;5.1;0
98;5.1;3.0;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
99;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
100;2.0;4.0;2.0;4.0;2.3;4.0;5.1;2.0;1.7;5.0;3.3;5.1;1
101;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
102;1.7;5.1;1.3;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
103;2.7;2.3;1.3;5.1;1.7;2.0;5.1;1.0;1.0;5.1;5.1;5.1;1
104;1.7;1.7;1.3;1.3;1.0;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
105;2.0;2.0;2.0;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1
106;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
107;2.7;5.1;2.3;5.1;1.7;2.7;5.1;5.1;5.1;5.1;5.1;5.1;1
108;2.7;5.1;5.1;2.0;2.3;5.1;5.1;5.1;4.0;5.1;5.1;5.1;1
109;1.7;1.3;1.3;5.1;1.7;5.1;5.1;1.0;5.1;5.1;5.1;5.1;1
110;1.3;1.3;5.1;5.1;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1
111;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
112;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
113;1.3;1.0;1.3;1.7;1.0;1.7;2.0;5.1;1.0;5.1;5.1;5.1;1
114;1.7;3.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
115;2.0;4.0;1.7;3.7;2.3;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1
116;4.0;5.1;2.0;5.1;2.3;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
117;5.1;4.0;5.1;5.1;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
118;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
119;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
120;5.1;1.3;1.0;1.0;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1
121;3.0;2.3;1.3;5.1;2.0;2.3;5.1;1.0;1.7;5.1;5.1;5.1;1
122;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
123;2.0;2.0;1.0;5.1;5.1;2.7;5.1;5.1;1.3;5.1;5.1;5.1;1
124;1.3;2.3;5.1;5.1;1.0;5.1;5.1;1.7;5.1;5.0;5.1;5.1;1
125;3.3;4.0;1.0;5.0;2.3;3.3;5.1;2.3;5.1;5.1;5.1;5.1;1
126;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
127;2.0;2.7;2.0;5.0;3.0;2.3;5.1;5.1;5.1;5.1;5.1;5.1;1
128;5.1;5.1;5.1;3.7;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;1
129;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
130;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
131;1.3;1.3;5.1;1.7;2.0;1.7;5.1;5.1;1.0;5.1;3.0;1.3;0
132;2.3;1.7;2.3;3.0;2.3;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1
133;2.3;5.1;2.0;5.0;2.3;2.3;5.1;5.1;5.1;5.1;5.1;5.1;1
134;4.0;1.0;2.0;5.0;1.3;2.0;5.1;5.1;1.0;5.1;5.1;5.1;1
135;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
136;2.3;5.1;1.3;5.1;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;1
137;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
138;5.1;5.1;2.7;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
139;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
140;5.1;5.1;5.1;1.7;5.1;5.1;1.0;1.0;1.0;1.0;3.3;1.0;1
141;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
142;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
143;3.3;5.1;5.1;5.0;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;1
144;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
145;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
146;2.3;3.3;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
147;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
148;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
149;5.1;5.1;5.1;5.1;5.1;4.0;5.1;5.1;3.3;5.1;5.1;5.1;1
150;1.0;1.0;1.0;2.0;1.7;1.3;1.0;5.1;5.1;5.1;5.1;5.1;1
151;5.1;5.1;5.1;2.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0
152;2.3;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
153;2.7;1.3;1.0;4.0;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
154;3.0;3.7;2.0;3.0;2.7;3.7;2.3;1.7;2.3;4.0;3.7;5.1;0
155;2.3;2.0;5.1;2.7;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;1
156;2.7;3.0;5.1;2.3;1.0;2.0;5.1;5.1;2.0;5.1;2.3;5.1;0
157;1.3;1.3;1.0;1.7;1.0;1.0;1.0;1.0;1.0;1.0;5.1;5.1;1
158;5.1;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
159;2.0;2.0;5.1;2.7;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
160;5.1;5.1;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
161;3.3;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
162;1.7;1.3;2.0;2.3;2.3;1.3;1.3;5.1;1.0;5.1;5.1;5.1;1
163;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
164;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
165;1.0;1.3;1.0;1.3;1.0;1.3;1.0;1.0;1.0;1.0;5.1;5.1;0
166;2.3;1.3;2.3;5.1;1.3;5.1;5.1;1.0;2.0;5.1;5.1;5.1;1
167;1.0;1.0;1.0;5.1;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1
168;5.1;5.1;5.1;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
169;2.3;3.7;1.0;3.0;2.3;3.7;5.1;5.1;5.1;5.1;5.1;5.1;1
170;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
171;1.3;1.3;5.1;5.1;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;1
172;5.1;5.1;1.0;3.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
173;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
174;3.0;2.7;5.1;3.7;3.3;3.3;5.1;5.1;5.1;3.3;3.7;5.1;1
175;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
176;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
177;5.1;5.1;5.1;5.1;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;1
178;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
179;5.1;2.0;1.3;1.7;1.3;5.1;5.1;5.1;5.1;1.0;3.3;1.3;1
180;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
181;2.3;5.1;2.3;2.3;1.7;2.3;5.1;2.3;2.0;5.1;5.1;5.1;1
182;1.0;3.3;1.3;5.1;5.1;5.1;5.1;5.1;2.7;5.1;5.1;5.1;1
