;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
112;4.0;2.7;1.7;2.7;2.0;1.7;0
113;5.1;5.1;5.1;5.1;5.1;5.1;1
114;5.1;5.1;5.1;5.1;5.1;5.1;1
115;5.1;5.1;5.1;5.1;5.1;5.1;1
116;5.1;5.0;5.1;5.1;1.3;4.0;1
117;5.1;5.1;5.1;5.1;5.0;5.1;1
118;5.1;5.1;5.1;5.1;5.1;5.1;1
119;5.1;5.1;5.1;5.1;5.1;5.1;1
120;5.1;5.1;5.1;5.1;5.1;5.1;1
121;5.1;5.1;5.1;5.1;5.1;5.1;0
122;5.1;5.1;5.1;5.1;5.1;5.1;1
123;5.1;5.1;5.1;5.1;5.1;5.1;1
124;2.0;5.1;5.1;2.3;5.1;5.1;1
125;1.3;1.0;5.1;1.0;5.1;5.1;0
126;5.1;5.1;5.1;5.1;5.1;5.1;1
127;5.1;5.1;5.1;5.1;5.1;5.1;1
128;5.1;5.1;5.1;5.1;5.1;5.1;1
129;5.1;5.0;3.7;5.0;2.0;5.0;1
130;5.1;5.1;5.1;5.1;5.1;5.1;1
131;1.0;5.1;5.1;1.0;1.7;1.0;0
132;5.1;5.1;5.1;5.1;5.1;5.1;1
133;5.1;5.1;5.1;5.1;5.1;5.1;1
134;5.1;5.1;5.1;5.1;5.1;5.1;1
135;5.1;5.1;5.1;5.1;5.1;5.1;1
136;2.3;3.3;1.0;3.0;2.0;4.0;1
137;5.1;5.1;5.1;5.1;5.1;5.1;1
138;5.1;5.1;5.1;5.1;5.1;5.1;1
139;5.1;5.1;5.1;5.1;5.1;5.1;1
140;5.1;5.1;5.1;5.1;5.1;5.1;1
141;1.7;2.3;1.7;5.1;1.3;5.1;0
142;4.0;3.0;1.7;4.0;2.3;5.0;1
143;2.3;1.3;5.1;2.7;2.3;5.1;0
144;5.1;1.0;5.1;3.0;1.7;5.1;1
145;3.0;1.3;1.3;2.3;5.1;3.0;0
146;5.1;1.7;5.1;1.0;5.1;5.1;1
147;1.3;1.0;5.1;1.0;5.1;5.1;0
148;5.1;2.3;2.7;5.1;1.7;3.7;1
149;5.1;5.1;5.1;5.1;5.1;5.1;1
150;5.1;5.1;5.1;5.1;5.1;5.1;1
151;5.1;5.1;5.1;5.1;5.1;5.1;1
152;4.0;3.0;5.1;5.0;1.3;5.1;1
153;5.1;3.0;5.1;5.1;1.3;5.1;1
154;5.1;5.1;5.1;5.1;5.1;5.1;1
155;5.1;5.1;5.1;5.1;5.1;5.1;1
156;5.1;5.1;5.1;5.1;5.1;5.1;1
157;2.3;1.0;5.1;1.0;1.0;1.3;0
158;5.1;5.1;5.1;5.1;5.1;5.1;1
159;5.1;5.1;5.1;5.1;5.1;5.1;1
160;5.1;5.1;5.1;5.1;5.1;5.1;1
161;5.1;5.1;5.1;5.1;5.1;5.1;1
162;5.1;5.1;5.1;5.1;5.1;5.1;1
163;3.3;5.0;3.7;5.0;2.0;5.0;1
164;5.1;5.1;5.1;5.1;5.1;5.1;1
165;5.1;5.1;5.1;5.1;5.1;5.1;1
166;5.1;5.1;5.1;5.1;5.1;5.1;1
167;5.1;5.1;5.1;5.1;5.1;5.1;1
168;5.1;5.1;5.1;5.1;5.1;5.1;1
169;5.1;5.1;2.3;5.1;5.1;5.1;1
170;5.1;5.1;5.1;5.1;5.1;5.1;1
171;5.1;5.1;2.7;4.0;1.3;3.3;1
172;2.3;5.1;5.1;5.1;5.1;5.1;1
173;5.1;1.0;5.1;5.1;1.3;5.1;1
174;2.7;5.1;5.1;5.0;5.1;2.7;1
175;5.1;5.1;5.1;5.1;5.1;5.1;1
176;5.1;5.1;5.1;5.1;5.1;5.1;1
177;2.3;2.7;2.3;1.7;2.0;4.0;0
178;3.3;5.1;5.1;5.1;5.1;3.0;1
179;3.7;5.0;1.0;5.0;1.3;3.0;0
180;5.1;5.1;5.1;5.1;5.1;5.1;1
181;5.1;5.1;5.1;5.1;5.1;5.1;1
182;5.1;1.3;1.0;5.1;5.1;5.1;0
183;5.1;2.0;2.0;5.1;5.1;5.1;1
184;5.1;5.1;5.1;5.1;5.1;5.1;1
185;5.1;4.0;1.7;5.1;5.1;5.1;1
186;5.1;5.1;5.1;5.1;5.1;5.1;1
187;5.1;5.1;5.1;5.1;5.1;5.1;1
188;5.1;5.1;5.1;5.1;5.1;5.1;1
189;5.1;1.0;1.7;5.1;5.1;5.1;0
190;5.1;5.1;5.1;5.1;5.1;5.1;1
191;5.1;5.1;5.1;5.1;5.1;5.1;0
192;5.1;1.7;5.0;5.1;5.1;5.1;0
193;5.1;1.7;5.1;5.1;5.1;5.1;1
194;5.1;1.0;5.1;5.1;5.1;5.1;1
195;5.1;5.1;5.1;5.1;5.1;5.1;1
196;5.1;5.1;5.1;5.1;5.1;5.1;1
197;5.1;5.1;5.1;5.1;5.1;5.1;1
198;5.1;5.1;5.1;5.1;5.1;5.1;1
199;5.1;5.1;5.1;5.1;5.1;5.1;1
200;5.1;5.1;5.1;5.1;5.1;5.1;1
201;5.1;1.0;5.1;5.1;5.1;5.1;1
202;5.1;5.1;5.1;5.1;5.1;5.1;1
203;5.1;5.1;5.1;5.1;5.1;5.1;1
204;5.1;5.1;5.1;5.1;5.1;5.1;1
205;3.3;2.3;1.7;3.0;1.3;2.7;1
206;5.1;5.1;5.1;5.1;1.3;4.0;1
207;5.1;5.1;5.1;5.1;5.1;5.1;1
208;5.1;5.1;5.1;5.1;5.1;5.1;1
209;5.1;5.1;5.1;5.1;5.1;5.1;1
210;5.1;5.1;5.1;5.1;5.1;5.1;1
211;5.1;5.1;5.1;5.1;5.1;5.1;1
212;5.1;5.1;5.1;5.1;5.1;5.1;1
