;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;M01_3_N;M02_3_N;M03_3_N;M04_3_N;M05_3_N;M06_3_N;M07_3_N;M08_3_N;M09_3_N;M10_3_N;M11_3_N;M12_3_N;M13_3_N;M14_3_N;M15_3_N;M16_3_N;M17_3_N;status
57;3.3;1.7;3.3;4.0;1.3;5.1;3.3;1.7;3.3;4.0;1.3;5.1;5.1;5.1;2.3;5.1;5.1;5.1;3.3;1.7;3.3;4.0;1.3;5.1;0.0;5.1;2.3;5.1;5.0;5.1;5.1;2.3;5.1;1.0;1.0;1
58;4.0;5.1;5.1;5.1;5.1;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
59;5.1;5.1;5.1;5.1;1.7;5.1;3.3;5.1;3.0;3.7;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.3;5.1;3.0;3.7;1.7;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
60;2.3;5.1;1.0;5.1;1.0;1.0;2.3;5.1;1.0;5.1;1.0;1.0;5.1;1.3;1.0;2.0;5.1;5.1;2.3;1.3;1.0;1.3;1.0;0.0;0.0;1.3;1.0;2.0;5.1;5.1;5.1;5.1;1.3;1.0;5.1;0
61;3.3;1.0;5.1;5.1;5.1;5.1;3.3;1.0;2.0;3.0;5.1;5.1;1.0;5.1;1.7;5.1;5.1;5.1;3.3;1.0;2.0;3.0;5.1;0.0;0.0;5.1;1.7;5.1;5.0;5.1;5.1;5.1;5.1;5.1;1.7;1
62;2.7;1.3;5.1;5.1;2.0;5.1;2.7;1.3;5.1;5.1;2.0;5.1;2.3;5.1;5.1;5.1;5.1;5.1;2.7;1.3;5.1;5.1;2.0;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.7;5.0;5.0;0
63;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
64;5.0;1.3;5.1;5.1;5.1;5.1;5.0;1.3;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.0;1.3;5.1;5.1;5.1;5.1;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
65;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
66;5.0;5.0;5.1;5.0;2.3;5.0;2.3;5.0;5.1;3.0;2.3;3.3;5.1;5.1;5.1;5.1;5.1;5.1;2.3;5.0;5.1;3.0;2.3;0.0;0.0;5.1;3.3;5.0;5.0;5.1;5.1;5.0;5.1;5.1;5.1;1
67;4.0;2.7;1.7;2.7;2.0;1.7;4.0;2.7;1.7;2.7;2.0;1.7;2.3;1.7;2.3;4.0;5.0;5.1;4.0;2.7;1.7;2.7;2.0;0.0;0.0;1.7;2.3;4.0;3.3;5.1;5.1;1.0;5.1;1.3;3.0;0
68;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
69;5.1;5.0;5.1;5.1;1.3;4.0;4.0;5.0;5.1;5.1;1.3;4.0;5.1;1.3;3.7;5.1;5.1;5.1;4.0;5.0;5.1;5.1;1.3;0.0;0.0;1.3;3.7;5.1;5.1;5.1;5.1;5.1;5.1;2.0;5.1;1
70;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.0;5.1;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
71;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
72;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.7;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
73;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.0;5.1;2.7;5.1;5.0;5.1;5.1;5.1;5.0;5.1;2.3;0.0;5.1;5.1;2.7;5.0;5.0;5.1;5.1;5.1;5.1;2.3;5.1;0
74;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.3;5.1;1.0;5.1;5.1;5.1;5.1;5.1;5.1;1.3;5.1;1.3;2.3;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
75;2.0;5.1;5.1;2.3;5.1;5.1;2.0;5.1;5.1;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;2.0;1.7;1.7;2.3;5.1;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
76;1.3;1.0;5.1;1.0;5.1;5.1;1.3;1.0;5.1;1.0;5.1;5.1;1.3;1.7;1.3;1.3;2.0;5.1;1.3;1.0;1.0;1.0;1.7;0.0;0.0;1.7;1.3;1.3;2.0;5.1;5.1;1.0;5.1;1.0;1.0;0
77;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
78;5.1;5.0;3.7;5.0;2.0;5.0;4.0;5.0;3.7;5.0;2.0;5.0;5.1;5.1;5.1;5.1;4.0;5.1;4.0;5.0;3.7;5.0;2.0;0.0;0.0;5.1;5.1;5.1;4.0;5.1;5.1;5.1;5.1;5.1;5.1;1
79;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1.0;1.3;3.3;2.3;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
80;1.0;5.1;5.1;1.0;1.7;1.0;1.0;5.1;5.1;1.0;1.7;1.0;5.1;1.7;5.1;1.0;1.0;5.1;1.0;1.0;1.0;1.0;1.7;0.0;0.0;1.7;5.1;1.0;1.0;5.1;5.1;1.3;5.1;5.1;1.3;0
81;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;3.3;3.3;1.7;3.7;0.0;0.0;0.0;0.0;3.3;3.3;5.1;5.1;2.7;1.3;5.1;3.3;5.1;1
82;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0.0;0.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
