;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
112;1.7;5.1;5.1;1.7;5.1;1.3;0
113;1.7;1.3;1.7;1.0;1.7;1.3;1
114;5.1;5.1;5.1;5.1;5.1;5.1;1
115;1.7;1.7;1.3;2.0;1.3;1.3;0
116;5.1;5.1;5.1;5.1;5.1;5.1;1
117;1.7;1.3;1.7;2.7;2.3;5.1;1
118;5.1;5.1;1.0;5.1;5.1;5.1;1
119;5.1;5.1;5.1;5.1;5.1;5.1;1
120;3.3;1.7;5.1;5.0;5.1;3.3;1
121;2.7;3.0;1.0;5.1;2.3;3.3;1
122;5.1;5.1;5.1;5.1;5.1;5.1;1
123;2.3;5.1;2.0;5.1;1.3;2.7;1
124;2.0;2.0;2.0;3.0;1.7;1.7;1
125;5.1;5.1;5.1;5.1;5.1;5.1;1
126;1.3;2.0;2.3;4.0;5.1;2.7;1
127;5.1;5.1;5.1;5.1;5.1;5.1;1
128;5.1;5.1;5.1;5.1;5.1;5.1;1
129;1.7;2.0;1.3;2.0;1.3;2.0;0
130;5.1;5.1;5.1;5.1;5.1;5.1;1
131;5.1;5.1;5.1;5.1;5.1;5.1;1
132;5.1;5.1;5.1;5.1;5.1;5.1;1
133;2.0;5.1;2.0;4.0;2.3;4.0;1
134;5.1;5.1;5.1;5.1;5.1;5.1;1
135;1.7;5.1;1.3;5.1;1.3;5.1;1
136;2.7;5.1;1.3;5.1;1.7;5.1;1
137;5.1;5.1;5.1;5.1;5.1;5.1;1
138;1.7;5.1;5.1;5.1;1.0;1.3;1
139;2.0;5.1;5.1;5.1;5.1;5.1;1
140;5.1;5.1;5.1;5.1;5.1;5.1;1
141;5.1;5.1;5.1;5.1;5.1;5.1;1
142;2.7;5.1;2.3;5.1;1.7;5.0;1
143;5.1;5.1;5.1;5.1;5.1;5.1;1
144;5.1;5.1;5.1;5.1;5.1;5.1;1
145;5.1;1.3;5.1;5.1;5.1;5.1;1
146;5.1;5.1;5.1;5.1;5.1;5.1;1
147;5.1;5.1;5.1;5.1;5.1;5.1;1
148;5.1;5.1;5.1;5.1;5.1;5.1;1
149;2.7;5.1;5.1;2.0;5.1;5.1;1
150;1.7;1.3;1.3;5.1;1.7;5.1;1
151;5.1;5.1;5.1;5.1;5.1;5.1;1
152;1.3;1.3;5.1;5.1;5.1;5.1;1
153;5.1;5.1;5.1;5.1;5.1;5.1;1
154;5.1;5.1;5.1;5.1;5.1;5.1;1
155;5.1;3.3;5.1;5.1;5.1;5.1;1
156;1.3;1.0;1.3;5.1;1.0;1.7;1
157;1.7;3.3;5.1;5.1;5.1;5.1;1
158;5.1;5.1;5.1;5.1;5.1;2.0;1
159;5.1;5.1;5.1;5.1;5.1;5.1;1
160;4.0;5.1;2.0;5.1;2.3;5.0;1
161;5.1;5.1;5.1;5.1;5.1;5.1;1
162;5.1;5.1;5.1;5.1;5.1;5.1;1
163;5.1;5.1;5.1;5.1;5.1;5.1;1
164;5.1;1.3;1.0;1.0;5.1;5.1;1
165;3.0;2.3;1.3;5.1;2.0;2.3;1
166;5.1;5.1;5.1;5.1;5.1;5.1;1
